Title,Price,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Condition,Quantity,Description 1,Description 2,Description 3,Description 4,Description 5,Description 6,Description 7,Description 8,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Policy,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM,META_purchaseCost,META_fullCost,META_sellPrice
Chenille Kraft Peacock Feathers - 36 inches - Pack of 12,$18.39,Arts & Entertainment,Hobbies & Creative Arts,Crafts & Hobbies,,,,New,10000,"Chenille Kraft Peacock Feather measures approximately 36 in and serves as a perfect first step for teaching looking up skills required in juggling. Peacock feather adds an dazzling touch to costumes, masks, collages and other creations which is sold as 12", per pack.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596949&Rendition=Small,,,,,SUPPLIES,ART SUPPLIES,CRAFTS,DECORATIVE CRAFTS,,School Specialty,004070,PACK OF 12,$13.79,$15.86,$18.39
Sportime Flag Football Belts Universal Size Flag Belts,$29.99,Sporting Goods,Team Sports,Football,,,,New,10000,"Sportime Universal Flag Football Belt of superior quality is highly versatile. 1 in Wide belt is made of poly-web and features no-tear, vinyl-coated flags. It features hook-and-loop fabric attachments on 2 slides that can be placed in apt positions. Belt ",comes with 6 pairs of red and 6 pairs of yellow flags. Belt fits all and is sold as 12 per pack.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596959&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,SPORTS,FOOTBALL/FLAG FOOTBALL,,School Specialty,004276,PACK OF 12,$22.49,$25.86,$29.99
"Flag Football Belts - Replacement Flags, Yellow - Set of 12",$11.39,Sporting Goods,Team Sports,Football,,,,New,10000,Sportime Yellow Replacement Flag is designed for use with any hook-and-loop flag belt. No-tear flag is vinyl coated and sold as 12 per set.,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596959&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,SPORTS,FOOTBALL/FLAG FOOTBALL,,School Specialty,004280,PACK OF 12,$8.54,$9.82,$11.39
"Flag Football Belts - Replacement Flags, Red - Set of 12",$11.39,Sporting Goods,Team Sports,Football,,,,New,10000,Sportime Red Replacement Flag is designed for use with any hook-and-loop flag belt. No-tear flag is vinyl coated and sold as 12 per set.,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596959&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,SPORTS,FOOTBALL/FLAG FOOTBALL,,School Specialty,004288,PACK OF 12,$8.54,$9.82,$11.39
Sportime Dub-L-Scrim Pinnie - Adult - Green / Red,$6.89,Sporting Goods,Exercise & Fitness,,,,,New,10000,Sportime Dub-L-Scrim Adult Pinnie for middle grades and up features a design based on the loose-fitting bloused scrimmage vest. Green/red pinnie with over-sized arm holes and an elastic waist band has pinnie-size neck openings that prevents them from slip,ping.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596960&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,ORGANIZATION,PINNIES/VESTS,,School Specialty,004388,EACH,$5.17,$5.95,$6.89
Sportime Rainbow Streamer Satin Ribbon with Plastic Glitter Wands - 36 inch - Set of 6 - Assorted,$16.49,Sporting Goods,Dancing,,,,,New,10000,"Sportime Rainbow Ribbon Wand Set includes 6 pieces measuring 36 in, one each of red, yellow, blue, green, violet and orange. Rainbow ribbons help your students work on range of motion, eye tracking, balance and creative socialization. These beautiful, hig","h-quality rainbow streamer ribbons is perfect for limited spaces and younger children. Each streamer has a long, satin ribbon with a 9 in plastic wand that sparkles with the same color glitter as the ribbon.",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596976&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,LEADUP SKILLS,MUSIC/DANCE,,School Specialty,004549,SET OF 6,$9.89,$11.37,$16.49
Abilitations Disc O Sit Iinflatable Seating and Balance Cushion with Smooth Tactile Bumps - 15 inch,$34.99,Health & Beauty,Health Care,,,,,New,10000,Sportime Disc &#39;O&#39; Sit is an inflatable disc with a dia of 15 in is perfect for clients both young and old who require dynamic seated activities. Disc that can inflated to desired level features smooth tactile bumps enabling your students to work o,"n postural training while seated, or balance activities in seated or standing positions.",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596982&Rendition=Small,,,,,INSTRUCTIONAL SOLUTIONS,SPECIAL NEEDS,POSITIONING,SITTING,,School Specialty,004715,EACH,$26.24,$30.18,$34.99
Lanyards Assorted - 2 Each of 6 Colors,$5.09,Sporting Goods,Exercise & Fitness,,,,,New,10000,"Sportime Assorted Lanyard Set contains 12 lanyards, two each in red, yellow, blue, green, violet and orange. High quality braided nylon lanyard features nickel-plated brass clip.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596983&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,ORGANIZATION,WHISTLES/LANYARDS,,School Specialty,004774,SET OF 12,$3.82,$4.39,$5.09
Sportime BonkerBall UltraFoam BonkerBall Junior,$69.99,Sporting Goods,Team Sports,Baseball,,,,New,10000,Sportime Bonker Ball Set includes 6 matched color-coded Ultrafoam bats measuring 27 in and 6 ultrafoam nobouncesalls with a Dia of 3-1/2 in. These color-coded bats/balls help differentiate teams and avoid confusion. Bat comes with a 2-1/2 in Dia barrel an,"d this set allows you to play up to 6 softball games simultaneously, quickly and safely on a basketball court. sold as 6 per set",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1753071&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,SPORTS,BASEBALL/SOFTBALL,,School Specialty,004798,EACH,$52.49,$60.36,$69.99
Abilitations Disc O Sit Junior Inflatable Seating and Balance Cushion - 12 inch,$28.99,Health & Beauty,Health Care,,,,,New,10000,Sportime Disc O Sit Junior Seat measures 12 in L die and is an inflatable disk having smooth tactile bumps. Students can balance the activities in seated or standing positions and allows your students to work on postural training while seated. This latex-,free seat can be inflated to desired level and is ideal for those who require dynamic seating activities.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596985&Rendition=Small,,,,,INSTRUCTIONAL SOLUTIONS,SPECIAL NEEDS,POSITIONING,SITTING,,School Specialty,004828,EACH,$21.74,$25.00,$28.99
