Title,Price,Cat_ID,Sub-category,Sub-subcategory,Condition,Quantity,Description,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM
Sportime Physio Roll Exercise Therapy Fitness Ball - 16 inch - Red,44.99,8,,,New,10000,"Like a therapy ball, helps with balance, muscle tone and sensory stimulation. Limited to forward and backward rotation while holding the rider within a contoured ""saddle"". Provides more control and stability. Molded seam-free piece. 15.7"" (40cm). Abilitat",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1000086&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,BALLS,SUPER-SIZED/THERAPY,,School Specialty,1004578,EACH
Sportime Tri-Lingual Numeric Bean Bag Set - Set of 6 - 6 Colors,19.29,8,,,New,10000,"Tri-lingual, English, Spanish and French wording for each number, 1 through 6. Each number is reinforced with a matching dot set. 5"" square double-stitched vinyl shells with soft corners. Set of 6 includes 1 each: Red, Yellow, Blue, Green, Orange and Viol",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=787665&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,LEADUP SKILLS,BEANBAGS,,School Specialty,1004582,SET OF 6
Sportime Heavy Duty Nylon Bean Bags - 4 x 4 - Set of 12 - Assorted Colors,12.29,8,,,New,10000,"Ruggedly sewn heavy nylon covers with hand-conforming pellet fill. 4"" bean bags come in a set of 12. Assorted colors.</p> <b> </b> <ul> <li>Set of 12</li> <li>Durable nylon material</li> <li>Heavy-duty stitching for long service life</li> <li>Filled with ",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=762469&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,LEADUP SKILLS,BEANBAGS,,School Specialty,1004608,SET OF 12
School Smart Rubber Soccerballs Size 4 Recommended for ages 9 12.,7.99,8,,,New,10000,Institutional quality natural rubber soccerball with permanent molded-in black and white color.,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=763493&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,SPORTS,SOCCER,,School Specialty,1004615,EACH
Ticonderoga Beginner Number 2 Pencil without Eraser - 13/32 in Diameter - Pack of 12 - Yellow,4.39,10,,,New,10000,"Big barrel pencils are easy for little ones to hold and write with. Thick, non-smudging bonded graphite, 13/32"" diameter round barrel. No eraser. Dozen.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=757119&encrypt=.jpg,,,,,Art,WRITING,PENCILS,PRIMARY,,School Specialty,1004651,PACK OF 12
Sportime Plastic Activity Sports Ball Set - Set of 6 - Assorted Colors,8.39,8,,,New,10000,"These rugged plastic molded balls can be used for a variety of activities. Each comes as a set of 6.</p> <b> </b> <ul> <li>Set of 6 Colors</li> <li>Softball-size molded plastic balls</li> <li>Rugged, made to last</li> <li>Ideal for a variety of activities",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=787684&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,SPORTS,BASEBALL/SOFTBALL,,School Specialty,1004666,SET OF 6
Melissa & Doug Wooden Shape Sorting Clock - Multiple Colors,16.99,10,,,New,10000,"Time to ""block around the clock!"" Combines shape sorting and learning to tell time. . .it's two toys in one! Place the colorful numbered shape pieces in their proper places on the face of the soundly-built clock, and move the hour and minute hands to make",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=802049&encrypt=.jpg,,,,,Early Childhood,EARLY LEARNING,INFANT/CHILD CARE,INF/TODDLER MANIPULATIVE PLAY,,School Specialty,1004895,EACH
Kimbo Educational All Time Favorite Dances CD,16.99,10,,,New,10000,"Children will love learning all the moves to favorite party dances with easy-to-follow steps that help develop coordination, kinesthetic memory and rhythm. This collection of 13 favorite party songs are fun for all ages, a group of friends, or individuall",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=798872&encrypt=.jpg,,,,,Physical Education,EARLY LEARNING,EC MUSIC,CDS/DVDS/CASSETTES,,School Specialty,1005234,EACH
Champion Sports Double Dutch Jump Ropes with loop Ends - 16 feet - Assorted Colors - ( Pair),11.69,8,,,New,10000,"These solid, vinyl-material ropes are perfectly balanced, providing fast and accurate rotation. Assorted colors (sorry, no color choice). Double dutch rope has loop ends.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=787547&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,LEADUP SKILLS,JUMPROPE,,School Specialty,1005264,PAIR OF 2
Sportime Spot Markers - 10 Diameter - Set of 6 - Assorted Colors,19.99,8,,,New,10000,"Designate positions, distances, group children or mark obstacle courses. Use them as targets, stepping stones, floor spots or seats. Textured vinyl back keeps disks in place. 10"" diameter x 1/8"" thick. Latex free. Sold in set of 6 including 1 of each Grad",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=763910&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,ORGANIZATION,SPATIAL AWARENESS/SPOTS,,School Specialty,1005401,SET OF 6
