Title,Price,Cat_ID,Sub-category,Sub-subcategory,Condition,Quantity,Description,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM
Sax Drawing Paper - 90 pound - 12 x 18 inches - 500 Sheets - White,38.79,10,,,New,10000,"A range of acid free, bleached white sulphite papers to provide for attractive work utilizing all art media. Felt finish quality sheet. Weights indicated are basis weights. 500 sheets/ream.</p> <b> </b> <ul> <li>Acid Free Sulphite</li> <li>Great for all m",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756031&encrypt=.jpg,,,,,Art,PAPER,ART PAPER,DRAWING,,School Specialty,206312,REAM
Sax Drawing Paper - 90 pound - 18 x 24 inches - 500 Sheets - White,74.99,10,,,New,10000,"A range of acid free, bleached white sulphite papers to provide for attractive work utilizing all art media. Felt finish quality sheet. Size 18"" x 24"" is ideal for easel work. Weights indicated are basis weights. 500 sheets/ream.</p> <b> </b> <ul> <li>Aci",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756042&encrypt=.jpg,,,,,Art,PAPER,ART PAPER,DRAWING,,School Specialty,206315,REAM
Sax Drawing Paper - 90 pound - 9 x 12 inches - 500 Sheets - White,19.39,10,,,New,10000,"A range of acid free, bleached white sulphite papers to provide for attractive work utilizing all art media. Felt finish quality sheet. Weights indicated are basis weights. 500 sheets/ream.</p> <b> </b> <ul> <li>Acid Free Sulphite</li> <li>Great for all m",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756025&encrypt=.jpg,,,,,Art,PAPER,ART PAPER,DRAWING,,School Specialty,206321,REAM
WonderFoam Foam Sheets - 9 x 12 inches - Pack of 10 - Assorted Colors,5.69,19,,,New,10000,Ten large sheets of assorted bright hue color foam to cut into any desired shape. <p><a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msds_207169.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/u,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=747694&encrypt=.jpg,,,,,Art,ART SUPPLIES,CRAFTS,DECORATIVE CRAFTS,,School Specialty,207169,PACK OF 10
WonderFoam Foam Sheets - 12 x 18 inches - Pack of 10 - Assorted Colors,9.59,19,,,New,10000,Ten large sheets of assorted bright hue color foam to cut into any desired shape. <p><a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msds_207171.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/u,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=747701&encrypt=.jpg,,,,,Art,ART SUPPLIES,CRAFTS,DECORATIVE CRAFTS,,School Specialty,207171,PACK OF 10
Crayola Fine Line Markers Classpack - Pack of 200 - Assorted Colors,81.99,19,,,New,10000,"Colors wash easily from skin and most clothing. Thin line nibs are perfect for drawing, outlining, detail work and clean, crisp lettering. Includes 20 markers each of 10 colors: Red, Yellow, Blue, Green, Orange, Violet, Flamingo Pink, Dolphin Gray, Brown,",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=750646&encrypt=.jpg,,,,,Art,ART SUPPLIES,ART MARKERS,WASHABLE MARKERS,,School Specialty,207193,PACK OF 200
KolorFast Metallic Luster Tissue Paper - 20 x 30 inches - Pack of 14 - Assorted Metallic Colors,8.19,10,,,New,10000,"<p>This assortment puts the emphasis on glittery metallics. 20"" x 30"". 14 sheets/pkg. Two sheets of each color.</p><p>Colors Include: Antique Gold, Antique Silver, Metallic Holiday Green, Metallic Buttercup, Metallic Scarlet, Metallic Turquoise and Deluxe",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=758558&encrypt=.jpg,,,,,Art,PAPER,ART PAPER,TISSUE,,School Specialty,210790,PACK OF 14
Canto Soprano Recorder,4.49,10,,,New,10000,Excellent intonation and response. (Hands on Recorder Method Book and CD sold separately),No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=759739&encrypt=.jpg,,,,,Early Childhood,EARLY LEARNING,EC MUSIC,INSTRUMENTS,,School Specialty,212346,EACH
Crayola Model Magic Yellow,3.89,19,,,New,10000,"Model Magic is a soft, easy-to-use modeling material that lets children create colorful, keepable art. Air-dries, usually within 24 hours. Safe and easy. 4 oz. Mylar package of yellow Model Magic. AP Certified nontoxic. <p><a href='http://ssiucm.schoolspe",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1070217&encrypt=.jpg,,,,,Art,ART SUPPLIES,CERAMICS/SCULPTURE,MODELING DOUGH,,School Specialty,213976,EACH
Crayola Model Magic - Red - 4 oz.,3.89,19,,,New,10000,"Model Magic is a soft, easy-to-use modeling material that lets children create colorful, keepable art. Air-dries, usually within 24 hours. Safe and easy. 4 oz. Mylar package of red Model Magic. AP Certified nontoxic. <p><a href='http://ssiucm.schoolspecia",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1070219&encrypt=.jpg,,,,,Art,ART SUPPLIES,CERAMICS/SCULPTURE,MODELING DOUGH,,School Specialty,213977,EACH
Crayola Non-Toxic Model Magic Dough - 4 ounces - Blue,3.89,19,,,New,10000,"Model Magic is a soft, easy-to-use modeling material that lets children create colorful, keepable art. Air-dries, usually within 24 hours. Safe and easy. 4 oz. Mylar package of blue Model Magic. AP Certified nontoxic. <p><a href='http://ssiucm.schoolspeci",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1070221&encrypt=.jpg,,,,,Art,ART SUPPLIES,CERAMICS/SCULPTURE,MODELING DOUGH,,School Specialty,213978,EACH
Crayola Arista II Liquid Tempera Paint - 1 Pint - Set of 12 - Assorted Colors,77.99,19,,,New,10000,"Vibrant, non-toxic, smooth and dries to a beautiful matte finish. The improved formula features a creamier texture, is non-separating and freeze-thaw stable. Excellent for both school and professional illustration or craft projects. Can be used on all typ",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=747441&encrypt=.jpg,,,,,Art,ART SUPPLIES,PAINT,TEMPERA,,School Specialty,213986,SET OF 12
Hygloss Metallic Foil Paper - 8 1/2 x 10 inches - Pack of 24 - Assorted Colors,6.39,10,,,New,10000,"Brilliant polished metal look adds sparkle to any project. Paper-backed foil will cut, fold and paste easily. Use with transparent inks or opaque colors. Eight-color assortments.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=759026&encrypt=.jpg,,,,,Art,PAPER,ART PAPER,METALLIC,,School Specialty,214317,PACK OF 24
Crayola Crayons in Tuck Box - 3 5/8 x 5/16 inches - Set of 12 - Multiple Colors,1.39,19,,,New,10000,"Regular Size Crayons: 3-5/8"" x 5/16""</p> <b> </b> <ul> <li>Pack of 12 Crayons</li> <li>Crayola Crayons are specially designed to provide truer colors, smooth laydown, durability, and easy blending</li> <li>Set of 12 vibrant, educator-preferred colors</li>",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=750909&encrypt=.jpg,,,,,Art,ART SUPPLIES,CRAYONS,STANDARD CRAYONS,,School Specialty,215007,SET OF 12
Hygloss Foil Paper - 26 inch x 25 foot Roll - Gold,17.09,19,,,New,10000,"Great for use with displays & posters. This highly reflective foil is paper backed and will cut, fold and paste easily. Each roll is 26"" x 25'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=758189&encrypt=.jpg,,,,,Art,ART SUPPLIES,CRAFTS,ART METALS,,School Specialty,215604,EACH
Hygloss Foil Paper - 26 inch x 25 foot Roll - Silver,17.09,19,,,New,10000,"Great for use with displays & posters. This highly reflective foil is paper backed and will cut, fold and paste easily. Each roll is 26"" x 25'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=758194&encrypt=.jpg,,,,,Art,ART SUPPLIES,CRAFTS,ART METALS,,School Specialty,215607,EACH
