Title,Price,Category,Sub-category,Sub-subcategory,Condition,Quantity,Description,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5
Spectra Duo Finish Art Kraft Roll - 36 inches x 1000 feet - Brown,66.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177211&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176601&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756189&encrypt=.jpg,,,,,School Specialty,SKU: 006243,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 36 inches x 1000 feet - Flame Red,97.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177562&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=263633&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756347&encrypt=.jpg,,,,,School Specialty,SKU: 006246,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 36 inches x 1000 feet - Canary Yellow,79.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177217&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176607&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756386&encrypt=.jpg,,,,,School Specialty,SKU: 006249,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 36 inches x 1000 feet - Orange,87.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177220&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176612&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756372&encrypt=.jpg,,,,,School Specialty,SKU: 006252,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 36 inches x 1000 feet - Emerald,63.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177224&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176618&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756240&encrypt=.jpg,,,,,School Specialty,SKU: 006255,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 36 inches x 1000 feet - Dark Blue,69.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177227&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176626&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756202&encrypt=.jpg,,,,,School Specialty,SKU: 006258,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 36 inches x 1000 feet - Black,67.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177231&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176632&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756068&encrypt=.jpg,,,,,School Specialty,SKU: 006261,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - White,23.49,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756389&encrypt=.jpg,,,,,School Specialty,SKU: 006264,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Brown,26.49,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756404&encrypt=.jpg,,,,,School Specialty,SKU: 006267,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Flame Red,33.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756703&encrypt=.jpg,,,,,School Specialty,SKU: 006270,UOM: EACH,,
SuccessDisk,14.09,PHYSICAL EDUCATION,LEADUP SKILLS,THROWING/CATCHING,New,10000,"SuccessDisk features an alternating LYCRA and mesh panel of EVA foam fill that works to trap air and slow its movement. This design makes the 12""D x 2-1/2"" thick (30.5cm x 6.4cm) SuccessDisk one of the easiest to throw, and, perhaps, the world s easiest a",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=767692&encrypt=.jpg,,,,,School Specialty,SKU: 006272,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Canary Yellow,32.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756928&encrypt=.jpg,,,,,School Specialty,SKU: 006273,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Orange,33.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756709&encrypt=.jpg,,,,,School Specialty,SKU: 006276,UOM: EACH,,
Sportime Nylon SuperCrawl Tunnel with Closed Toggles and Storage Bag - 20 inches x 6 foot,39.99,EARLY LEARNING,EC ACTIVE PLAY,TENTS/TUNNELS,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=386265&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=385394&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=770280&encrypt=.jpg,,,,,School Specialty,SKU: 006277,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Light Green,32.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756701&encrypt=.jpg,,,,,School Specialty,SKU: 006279,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Emerald,25.49,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756697&encrypt=.jpg,,,,,School Specialty,SKU: 006282,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Aqua Blue,32.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756690&encrypt=.jpg,,,,,School Specialty,SKU: 006285,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Dark Blue,29.49,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=263815&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176834&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756680&encrypt=.jpg,,,,,School Specialty,SKU: 006288,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Pink,33.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756707&encrypt=.jpg,,,,,School Specialty,SKU: 006291,UOM: EACH,,
School Specialty AMO Fiberglass Recurve Archery Bow - 30 Lb Draw - 60 inches - Green,58.99,PHYSICAL EDUCATION,SPORTS,ARCHERY,New,10000,"The Fiberglass Recurve Bows are durable, pre-stressed, hand laid, fiberglass-strand construction used on our bows. Full molded grip designs allow for immediate use by either right or left-handed archers, with no adjustments required. Bow comes with one do",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=787899&encrypt=.jpg,,,,,School Specialty,SKU: 006307,UOM: EACH,,
Sportime SloMo Exercise and Therapy Ball - Small - 7 1/2 to 10 inches - Set of 6 - Assorted Colors,30.99,PHYSICAL EDUCATION,BALLS,TEACHING/PLAY,New,10000,"SloMo Balls (short for slow motion) are strong, light, easy to grasp and have wide inflation ranges. Their extreme, light weight allows them to float just a little bit, providing a slower movement that s easier to eye track. You control bounce and softnes",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=795684&encrypt=.jpg,,,,,School Specialty,SKU: 006310,UOM: EACH,,
Pacon Protecto Film - Clear - 18 inch x 65 feet,32.99,BUSINESS MACHINES,LAMINATING,ROLL FILM,New,10000,"Protect posters, graphs, maps, presentations, report covers and much more with clear, non-glare plastic adhering film. Quick-release backing sheet shows centimeter grids and inch rulings for easy measuring. 18"" x 65'",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=754578&encrypt=.jpg,,,,,School Specialty,SKU: 006324,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Apple Green,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=925898&encrypt=.jpg,,,,,School Specialty,SKU: 006405,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Black,27.49,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756394&encrypt=.jpg,,,,,School Specialty,SKU: 006420,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 36 inches x 1000 feet - Pink,79.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177236&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176637&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756362&encrypt=.jpg,,,,,School Specialty,SKU: 006459,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 36 inch x 1000 foot - Aqua Blue,84.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177240&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176642&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756224&encrypt=.jpg,,,,,School Specialty,SKU: 006543,UOM: EACH,,
Spectra Duo Finish Art Kraft Rolls - 36 inches x 1000 feet - Scarlet,84.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177244&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176647&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756354&encrypt=.jpg,,,,,School Specialty,SKU: 006546,UOM: EACH,,
Spectra Duo Finish Art Kraft Rolls - 36 inches x 1000 feet - Light Green,87.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177248&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176653&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756256&encrypt=.jpg,,,,,School Specialty,SKU: 006549,UOM: EACH,,
Spectra Duo Finish Art Kraft Rolls - 36 inches x 1000 feet - Gold,91.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177252&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176658&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756381&encrypt=.jpg,,,,,School Specialty,SKU: 006696,UOM: EACH,,
Spectra Duo Finish Art Kraft Rolls - 36 inches x 1000 feet - Purple,88.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177255&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176665&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756194&encrypt=.jpg,,,,,School Specialty,SKU: 006699,UOM: EACH,,
Spectra Duo Finish Art Kraft Rolls - 36 inches x 1000 feet - Brite Green,97.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177260&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176670&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756248&encrypt=.jpg,,,,,School Specialty,SKU: 006735,UOM: EACH,,
Spectra Duo Finish Art Kraft Rolls - 36 inches x 1000 feet - Brite Blue,88.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177428&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176781&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756217&encrypt=.jpg,,,,,School Specialty,SKU: 006738,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Brite Green,33.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756699&encrypt=.jpg,,,,,School Specialty,SKU: 006747,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Brite Blue,32.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756685&encrypt=.jpg,,,,,School Specialty,SKU: 006750,UOM: EACH,,
Dial Take Along Storage Clipboard - 9 x 12 x 1 inches - Blue,13.79,OFFICE SUPPLIES,CLIPS/FASTENERS/RUBBER BANDS,CLIPBOARDS,New,10000,"Take-Along Clipboard is here to assist you. Sturdy clipboard with 9"" x 12"" x 1"" (23cm x 30cm x 3cm) built-in storage, large enough to hold plenty of paperwork, some pencils, a small sharpener, stickers, and more. Super-tough translucent yellow plastic pro",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=769013&encrypt=.jpg,,,,,School Specialty,SKU: 006751,UOM: EACH,,
Spectra Duo Finish Art Kraft Roll - 48 inches x 200 feet - Purple,32.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"Two distinct surfaces allow the freedom to choose the best suited for the art activity. Smooth side is ideal for felt pen, fingerpaint, fine line drawing or similar art media where bleed is not desired. Turn it over and a superior tooth surface handles we",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756409&encrypt=.jpg,,,,,School Specialty,SKU: 006753,UOM: EACH,,
Poly Enterprises Polyethylene Classic Game Cones - 6 inches - Assorted Colors,28.49,PHYSICAL EDUCATION,ORGANIZATION,CONES,New,10000,"Game Cones are redesigned in colors now, to allow for better classroom or playground organization. The polyethylene material is highly flexible and visible for safety. These come in a rainbow of colors; Red, Yellow, Blue, Green, Purple and Orange, 6""H (15",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=772588&encrypt=.jpg,,,,,School Specialty,SKU: 006763,UOM: SET OF 6,,
Poly Enterprises Polyethylene Classic Game Cones - 12 inches - Assorted Colors,40.49,PHYSICAL EDUCATION,ORGANIZATION,CONES,New,10000,"Game Cones are redesigned in colors now, to allow for better classroom or playground organization. The polyethylene material is highly flexible and visible for safety. These come in a rainbow of colors; Red Yellow Blue Green Purple and Orange, 12""H (30.5c",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=772596&encrypt=.jpg,,,,,School Specialty,SKU: 006764,UOM: EACH,,
KIN-BALL  sport Official Rules Manual,12.99,PHYSICAL EDUCATION,BALLS,SUPER-SIZED/THERAPY,New,10000,KIN-BALL  sport Official Rules Manual,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=794805&encrypt=.jpg,,,,,School Specialty,SKU: 006789,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Bright Blue,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,Bright Blue Bordette Scalloped Border Continuous Rolls.,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=925903&encrypt=.jpg,,,,,School Specialty,SKU: 006811,UOM: EACH,,
Champion Half Cones School Pack - 9 inch - Set of 48 - Assorted Colors,32.49,PHYSICAL EDUCATION,ORGANIZATION,CONES,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=371184&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <p>Bright, colorful, low profile ""half cones"" can be used for many activities and games. Very lightweight and they nest in ",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=772922&encrypt=.jpg,,,,,School Specialty,SKU: 006835,UOM: SET OF 48,,
School Specialty Stretchy Wrist Bands - 3 inches Wide - Set of 8 Pairs - Assorted Colors,15.39,PHYSICAL EDUCATION,ORGANIZATION,PINNIES/VESTS,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=374506&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=373612&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=765238&encrypt=.jpg,,,,,School Specialty,SKU: 006850,UOM: SET OF 8,,
School Smart Heavyweight Construction Paper - 18 x 24 inches - Pack of 50 - Holiday Red,4.99,PAPER,CONSTRUCTION,GROUNDWOOD,New,10000,"All purpose, high bulk, high strength and smooth textured construction paper. Long, strong fibers cut cleanly and fold evenly without cracking. Available in 31 brilliant colors as well as an assorted pack. Made of 65# Groundwood. Environmentally friendly,",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756802&encrypt=.jpg,,,,,School Specialty,SKU: 006993,UOM: PACK OF 50,,
Sportime Super Softouch Polo Set,144.99,PHYSICAL EDUCATION,SPORTS,LACROSSE,New,10000,"12 sticks (6 each of Blue and Yellow) with straight 11""L coated foam heads. Includes two 7"" playballs. Latex free.</p> <b> </b> <ul> <li>12 Sticks And 2 Balls</li> <li>Ideal way to encourage competitive physical activity</li> <li>Set comes complete with e",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=761110&encrypt=.jpg,,,,,School Specialty,SKU: 007055,UOM: EACH,,
Sportime Softouch Polo DOUBLE SUPER SOFTOUCH POLO.,209.99,PHYSICAL EDUCATION,SPORTS,FLOOR HOCKEY,New,10000,Super Softouch-Polo Game - Double Set</p> <b> </b> <ul> <li>Category: Sports / Polo</li> <li>Sold as a Single Unit</li> <li>Short name: Game Polo Super Softouch Double Set</li> <li>Designed for School or Home Use</li> <li>Sportime - part of School Special,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=767008&encrypt=.jpg,,,,,School Specialty,SKU: 007057,UOM: EACH,,
Sportime Super Softouch Hockey Double Set,238.99,PHYSICAL EDUCATION,SPORTS,FLOOR HOCKEY,New,10000,"Super Softouch Hockey began with Pillo-Pollo - a soft, safe, fun way to play field hockey. Reshaping the heads brings you the Super Softouch Hockey that's played today. The coated foam head of each stick is curved as it would be in field, ice or street ho",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=767038&encrypt=.jpg,,,,,School Specialty,SKU: 007060,UOM: EACH,,
