Title,Price,Category,Sub-category,Sub-subcategory,Condition,Quantity,Description,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5
Chenille Kraft Peacock Feathers - 36 inches - Pack of 12,18.39,ART SUPPLIES,CRAFTS,DECORATIVE CRAFTS,New,10000,"Peacock feathers add a great touch to costumes, masks, collages and other creations. Also an excellent first step for teaching looking up skills required in juggling. They are approximately 36"" (91.4cm) long, 12 feathers per set.</p> <b> </b> <ul> <li>Pac",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=765117&encrypt=.jpg,,,,,School Specialty,SKU: 004070,UOM: PACK OF 12,,
Sportime Flag Football Belts Universal Size Flag Belts,29.99,PHYSICAL EDUCATION,SPORTS,FOOTBALL/FLAG FOOTBALL,New,10000,"These Flag Football Belts are very versatile and high quality, made with 1""W (2.5cm) poly-web belts and no-tear, vinyl-coated flags. Each dozen belts is shipped with 6 pair of red and 6 pair of yellow flags. Belt colors may vary. One size fits all. Hook-a",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=765984&encrypt=.jpg,,,,,School Specialty,SKU: 004276,UOM: PACK OF 12,,
"Flag Football Belts - Replacement Flags, Yellow - Set of 12",11.39,PHYSICAL EDUCATION,SPORTS,FOOTBALL/FLAG FOOTBALL,New,10000,"These Flag Football Belts are very versatile and high quality, made with 1""W (2.5cm) poly-web belts and no-tear, vinyl-coated flags. Belt colors may vary. One size fits all. Hook-and-loop fabric attachments on 2 slides that can be placed in proper positio",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=765996&encrypt=.jpg,,,,,School Specialty,SKU: 004280,UOM: EACH,,
"Flag Football Belts - Replacement Flags, Red - Set of 12",11.39,PHYSICAL EDUCATION,SPORTS,FOOTBALL/FLAG FOOTBALL,New,10000,"These Flag Football Belts are very versatile and high quality, made with 1""W (2.5cm) poly-web belts and no-tear, vinyl-coated flags. Belt colors may vary. Replacement Flags, Red.</p> <b> </b> <ul> <li>Pack of 12</li> <li>Flags only (belts not included)</l",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=766001&encrypt=.jpg,,,,,School Specialty,SKU: 004288,UOM: EACH,,
Sportime Dub-L-Scrim Pinnie - Adult - Green / Red,6.89,PHYSICAL EDUCATION,ORGANIZATION,PINNIES/VESTS,New,10000,"We didn't invent reversible vests, but we certainly improved them. Virtually all the others on the market are straight cut, often tight fitting, one size for all, and most colors reverse to white. The Sportime Dub-L-Vest design is based on the loose-fitti",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1028951&encrypt=.jpg,,,,,School Specialty,SKU: 004388,UOM: EACH,,
Sportime Rainbow Streamer Satin Ribbon with Plastic Glitter Wands - 36 inch - Set of 6 - Assorted,16.49,PHYSICAL EDUCATION,LEADUP SKILLS,MUSIC/DANCE,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=390105&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=389291&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=770121&encrypt=.jpg,,,,,School Specialty,SKU: 004549,UOM: SET OF 6,,
Abilitations Disc O Sit Iinflatable Seating and Balance Cushion with Smooth Tactile Bumps - 15 inch,34.99,SPECIAL NEEDS,POSITIONING,SITTING,New,10000,"The Disc'O'Sit is a 15"" (38.1cm) diameter inflatable disk with smooth tactile bumps that enables your students to work on postural training while seated, or balance activities in seated or standing positions. Ideal for all ages of students who require dyn",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=781399&encrypt=.jpg,,,,,School Specialty,SKU: 004715,UOM: EACH,,
Lanyards Assorted - 2 Each of 6 Colors,5.09,PHYSICAL EDUCATION,ORGANIZATION,WHISTLES/LANYARDS,New,10000,This Lanyard has excellent quality braided nylon with nickel-plated brass clip. You can get sets of 12 including 2 each of 6 colors or you can get sets of any color.</p> <b> </b> <ul> <li>Pack of 12 Lanyards</li> <li>2 of each of 6 colors</li> <li>Use for,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=772190&encrypt=.jpg,,,,,School Specialty,SKU: 004774,UOM: SET OF 12,,
Sportime BonkerBall UltraFoam BonkerBall Junior,69.99,PHYSICAL EDUCATION,SPORTS,BASEBALL/SOFTBALL,New,10000,"In UltraFoam BonkerBall Junior 6 simultaneous softball games (of 5-6 players each) are played at the same time and on the same basketball court. All this is going on safely and color controlled. There are also 2 to 3 outfielders, a pitcher (who does not p",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=763583&encrypt=.jpg,,,,,School Specialty,SKU: 004798,UOM: EACH,,
Abilitations Disc O Sit Junior Inflatable Seating and Balance Cushion - 12 inch,28.99,SPECIAL NEEDS,POSITIONING,SITTING,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=369231&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=368222&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=795699&encrypt=.jpg,,,,,School Specialty,SKU: 004828,UOM: EACH,,
