Title,Price,Cat_ID,Sub-category,Sub-subcategory,Condition,Quantity,Description,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM
"Heavy-Duty Mesh Storage Bags - Set of 6 12"" x 18""",40.49,8,,,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=376979&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=376128&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=769946&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,ORGANIZATION,PHY ED BALL BAGS,,School Specialty,30184,SET OF 6
Sportime Heavy Duty Mesh Storage Bags - 24 x 36 - Set of 6 - Assorted Colors,60.99,8,,,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=374300&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=373471&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=770067&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,ORGANIZATION,PHY ED BALL BAGS,,School Specialty,30187,EACH
"Heavy-Duty Mesh Storage Bags Red 12"" x 18""",8.99,8,,,New,10000,"Store And transport your equipment with durable, lightweight, Heavy-Duty Mesh Storage Bags. Control the equipment and track its distribution through color coding. 1st grade gets the red bag of equipment, 2nd the yellow, 3rd the blue...and so on. Made toug",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=769714&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,ORGANIZATION,PHY ED BALL BAGS,,School Specialty,30189,EACH
Crayola Colored Chalk - 3 3/16 x 3/8 - Pack of 12 - Assorted Colors,0.99,10,,,New,10000,"Twelve sticks of chalk in 6 colors. Perfect for chalk drawings and sidewalk art. Recommended for children's use; also suitable for lecture presentations. Non toxic. 3 3/16"" x 3/8"". <p><a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprod",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1030093&encrypt=.jpg,,,,,Art,WRITING,CHALK,COLORED,,School Specialty,030-3380,PACK OF 12
Preventive Dental Specialties Special Needs Tuffy Chewy Sensory Aid - Set of 2 - Assorted Colors,9.99,10,,,New,10000,"Preventative Dental offers an oral sensory solution. Tuffy Chewy was designed to help children that need to chew or bite. It features a safe, durable chew surface that is rigid and non-pliable. Use of this product should be supervised by an adult at all t",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=771560&encrypt=.jpg,,,,,Special Needs,SPECIAL NEEDS,SENSORY SOLUTIONS,ORAL,,School Specialty,30405,EACH
Volley SuperSkin 2 MultiPlay Medium Bounce Ball - 6 1/4 inch - Yellow,29.49,8,,,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=369446&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=368535&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=764634&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,BALLS,FOAM BALLS,,School Specialty,30495,EACH
SportimeMax ProRubber Football #9 Regulation,16.39,8,,,New,10000,"Make Great Official Game Balls Claimed Delegates To The First Annual Save The Pigs Conference As incredible as the looks and feel of the SportimeMax line of primary And secondary colored balls are, leather-like realism is the hallmark of those carrying th",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1029447&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,SPORTS,FOOTBALL/FLAG FOOTBALL,,School Specialty,30577,EACH
OMNIKIN  Super Ball - 20 inches long and 13 inch diameter - Red,42.99,8,,,New,10000,"The OMNIKIN  Super Ball makes your football unit larger than life. Kids absolutely love the super size. And you'll love the durability, light weight of the ball, and the 6 bright colors. Play rugby-type games, football (although overhand passes are quite ",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=766670&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,BALLS,SUPER-SIZED/THERAPY,,School Specialty,30691,EACH
OMNIKIN  Super Ball - 20 inches long and 13 inch diameter - Blue,42.99,8,,,New,10000,"The OMNIKIN  Super Ball makes your football unit larger than life. Kids absolutely love the super size. And you'll love the durability, light weight of the ball, and the 6 bright colors. Play rugby-type games, football (although overhand passes are quite ",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=766766&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,BALLS,SUPER-SIZED/THERAPY,,School Specialty,30693,EACH
OMNIKIN  Super Ball - 20 inches long and 13 inch diameter - Green,42.99,8,,,New,10000,"The OMNIKIN  Super Ball makes your football unit larger than life. Kids absolutely love the super size. And you'll love the durability, light weight of the ball, and the 6 bright colors. Play rugby-type games, football (although overhand passes are quite ",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=766773&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,BALLS,SUPER-SIZED/THERAPY,,School Specialty,30694,EACH
