Title,Price,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Condition,Quantity,Description 1,Description 2,Description 3,Description 4,Description 5,Description 6,Description 7,Description 8,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Policy,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM,META_purchaseCost,META_fullCost,META_sellPrice
School Smart Marbleback Composition Books - Flexible Cover 48 Sheet Count - 9.75 x 7.75 .,1.59,Office Supplies,General Supplies,Paper Products,,,,New,10000,"Popular black marble pattern covers are taped and sewn to 16 lb. white sulphite paper - excellent for pen and pencil use. Wide ruled with red margin lines. Covers have space where students can write name, school and grade. Useful weights and measures info",". is printed on back cover. Ruled 3/8"".</p> <b> </b> <ul> <li>Sold Individually</li> <li>Durable flexible cover with classic black and white marble design</li> <li>Quality white sulphite paper with 3/8"" ruling</li> <li>Front cover has space for name, scho",ol and grade</li> <li>Useful weights and measures on back cover</li> </ul> <p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=754699&encrypt=.jpg,,,,,SCHOOL SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002055,EACH,$1.19,$1.37,1.59
School Smart Marbleback Composition Books - Flexible Cover; 48 Sheet Count - 8.5 x 7 .,1.39,Office Supplies,General Supplies,Paper Products,,,,New,10000,"Popular black marble pattern covers are taped and sewn to 16 lb. white sulphite paper - excellent for pen and pencil use. Wide ruled with red margin lines. Covers have space where students can write name, school and grade. Useful weights and measures info",". is printed on back cover. Ruled 3/8"".</p> <b> </b> <ul> <li>Sold Individually</li> <li>Durable flexible cover with classic black and white marble design</li> <li>Quality white sulphite paper with 3/8"" ruling</li> <li>Front cover has space for name, scho",ol and grade</li> <li>Useful weights and measures on back cover</li> </ul> <p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=754695&encrypt=.jpg,,,,,SCHOOL SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002058,EACH,$1.04,$1.20,1.39
Sharpie Fine Point Permanent Markers - Pack of 8 - Assorted Colors,5.89,Office Supplies,Office Instruments,Writing & Drawing Instruments,Markers & Highlighters,,,New,10000,"Sharpie marks bright, strong and permanent on most surfaces: metal, glass, plastic, foil, cloth, rubber, waxed paper, etc. Great for identifying and labeling. Waterproof ink. Includes 8 colors - Black, Blue, Green, Yellow, Orange, Red, Purple and Brown. s","hape recognition, geometry, classify objects by attribute</p> <b> </b> <ul> <li>Sold As Set of 8</li> <li>Short name: Marker Fine Sharpie Set Of 8</li> <li>Sharpie Brand of Products</li> <li>Typical Use: School Supplies / Pens - Pencils - Markers / Marker",s</li> </ul> <p> <p><a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msds_002133.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestmktger/documents/image/x386912.jpg' border,='0' alt='MSDS Sheet Download' /><br />MSDS download for Sharpie Fine Point Permanent Markers - Pack of 8 - Assorted Colors</a></p>,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756452&encrypt=.jpg,,,,,SCHOOL SUPPLIES,WRITING,PERMANENT MARKERS,FINE,,School Specialty,002133,SET OF 8,$4.42,$5.08,5.89
uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Micro Point - Black,2.39,Office Supplies,Office Instruments,Writing & Drawing Instruments,Pens & Pencils,Pens,,New,10000,Exclusive uni-flow ink system regulates a steady flow of waterproof ink to the point for consistent smoothness and color intensity. Features uni Super Ink . Archival quality and acid-free ink. Stainless Steel tip. Visible ink supply. Black micro point. <p,><a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msds_002824.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestmktger/documents/image/x386912.jpg' border='0' alt='MSDS Shee,t Download' /><br />MSDS download for uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Micro Point - Black</a></p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=760745&encrypt=.jpg,,,,,SCHOOL SUPPLIES,WRITING,ROLLERBALL PENS,ROLLERBALL STICK,,School Specialty,002824,EACH,$1.79,$2.06,2.39
uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Micro Point - Red,2.39,Office Supplies,Office Instruments,Writing & Drawing Instruments,Pens & Pencils,Pens,,New,10000,Exclusive uni-flow ink system regulates a steady flow of waterproof ink to the point for consistent smoothness and color intensity. Features uni Super Ink . Archival quality and acid-free ink. Stainless Steel tip. Visible ink supply. Red micro point. <p><,a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msds_002825.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestmktger/documents/image/x386912.jpg' border='0' alt='MSDS Sheet ,Download' /><br />MSDS download for uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Micro Point - Red</a></p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=760751&encrypt=.jpg,,,,,SCHOOL SUPPLIES,WRITING,ROLLERBALL PENS,ROLLERBALL STICK,,School Specialty,002825,EACH,$1.79,$2.06,2.39
uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Micro Point - Blue,2.39,Office Supplies,Office Instruments,Writing & Drawing Instruments,Pens & Pencils,Pens,,New,10000,Exclusive uni-flow ink system regulates a steady flow of waterproof ink to the point for consistent smoothness and color intensity. Features uni Super Ink . Archival quality and acid-free ink. Stainless Steel tip. Visible ink supply. Blue micro point. <p>,<a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msds_002826.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestmktger/documents/image/x386912.jpg' border='0' alt='MSDS Sheet, Download' /><br />MSDS download for uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Micro Point - Blue</a></p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=760760&encrypt=.jpg,,,,,SCHOOL SUPPLIES,WRITING,ROLLERBALL PENS,ROLLERBALL STICK,,School Specialty,002826,EACH,$1.79,$2.06,2.39
uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Fine Point - Black,2.39,Office Supplies,Office Instruments,Writing & Drawing Instruments,Pens & Pencils,Pens,,New,10000,Exclusive uni-flow ink system regulates a steady flow of waterproof ink to the point for consistent smoothness and color intensity. Features uni Super Ink . Archival quality and acid-free ink. Stainless Steel tip. Visible ink supply. Black fine point. <p>,<a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msds_002827.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestmktger/documents/image/x386912.jpg' border='0' alt='MSDS Sheet, Download' /><br />MSDS download for uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Fine Point - Black</a></p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=760765&encrypt=.jpg,,,,,SCHOOL SUPPLIES,WRITING,ROLLERBALL PENS,ROLLERBALL STICK,,School Specialty,002827,EACH,$1.79,$2.06,2.39
uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Fine Point - Red,2.39,Office Supplies,Office Instruments,Writing & Drawing Instruments,Pens & Pencils,Pens,,New,10000,Exclusive uni-flow ink system regulates a steady flow of waterproof ink to the point for consistent smoothness and color intensity. Features uni Super Ink . Archival quality and acid-free ink. Stainless Steel tip. Visible ink supply. Red fine point. <p><a, href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msds_002828.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestmktger/documents/image/x386912.jpg' border='0' alt='MSDS Sheet D,ownload' /><br />MSDS download for uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Fine Point - Red</a></p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=760771&encrypt=.jpg,,,,,SCHOOL SUPPLIES,WRITING,ROLLERBALL PENS,ROLLERBALL STICK,,School Specialty,002828,EACH,$1.79,$2.06,2.39
uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Fine Point - Blue,2.39,Office Supplies,Office Instruments,Writing & Drawing Instruments,Pens & Pencils,Pens,,New,10000,Exclusive uni-flow ink system regulates a steady flow of waterproof ink to the point for consistent smoothness and color intensity. Features uni Super Ink . Archival quality and acid-free ink. Stainless Steel tip. Visible ink supply. Blue fine point. <p><,a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msds_002829.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestmktger/documents/image/x386912.jpg' border='0' alt='MSDS Sheet ,Download' /><br />MSDS download for uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Fine Point - Blue</a></p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=760777&encrypt=.jpg,,,,,SCHOOL SUPPLIES,WRITING,ROLLERBALL PENS,ROLLERBALL STICK,,School Specialty,002829,EACH,$1.79,$2.06,2.39
School Smart Push Pins - 3/8 inch Long Pins - Box of 100 - Assorted Colors,1.39,Office Supplies,General Supplies,Tacks & Pushpins,,,,New,10000,"Easier to grip for pinning and removing from bulletin boards than conventional thumb tacks. Assorted Colors 1/2"" plastic grip heads; 3/8"" ground steel points. Box/100.</p> <b> </b> <ul> <li>Perfect Choice For Bulletin Boards</li> <li>Assorted colors</li> ",</ul> <p>,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=762224&encrypt=.jpg,,,,,SCHOOL SUPPLIES,OFFICE SUPPLIES,CLIPS/FASTENERS/RUBBER BANDS,PINS,,School Specialty,003351,PACK OF 100,$1.04,$1.20,1.39
